timestamp,user_id,acao,status,latencia_ms
2025-06-26 10:25:00,1423,abrir_extrato,sucesso,477
2025-06-27 23:07:00,1891,abrir_extrato,sucesso,648
2025-06-22 12:58:00,1024,abrir_extrato,sucesso,811
2025-06-27 23:59:00,1227,abrir_extrato,sucesso,953
2025-06-08 08:11:00,1191,abrir_extrato,sucesso,362
2025-06-24 17:44:00,1166,abrir_extrato,sucesso,779
2025-06-01 08:56:00,1852,abrir_extrato,sucesso,180
2025-06-22 16:24:00,1836,abrir_extrato,sucesso,434
2025-06-16 08:35:00,1959,abrir_extrato,timeout,839
2025-06-05 08:55:00,1437,abrir_extrato,sucesso,1463
2025-06-13 12:54:00,1362,abrir_extrato,sucesso,619
2025-06-11 12:55:00,1648,abrir_extrato,sucesso,1584
2025-06-02 14:40:00,1788,abrir_extrato,sucesso,782
2025-06-12 08:40:00,1452,abrir_extrato,sucesso,780
2025-06-27 18:09:00,1753,abrir_extrato,timeout,882
2025-06-27 13:34:00,1057,abrir_extrato,sucesso,667
2025-06-01 09:26:00,1449,abrir_extrato,sucesso,840
2025-06-20 09:04:00,1956,abrir_extrato,sucesso,1059
2025-06-29 00:30:00,1712,abrir_extrato,sucesso,425
2025-06-08 03:52:00,1712,abrir_extrato,sucesso,738
2025-06-18 12:35:00,1104,abrir_extrato,erro_500,1220
2025-06-10 05:55:00,1915,abrir_extrato,sucesso,1235
2025-06-29 22:55:00,1090,abrir_extrato,sucesso,629
2025-06-20 19:53:00,1974,abrir_extrato,sucesso,799
2025-06-27 05:28:00,1183,abrir_extrato,sucesso,723
2025-06-26 21:33:00,1938,abrir_extrato,sucesso,300
2025-06-04 00:25:00,1381,abrir_extrato,sucesso,749
2025-06-28 12:53:00,1307,abrir_extrato,sucesso,1072
2025-06-07 05:18:00,1339,abrir_extrato,sucesso,468
2025-06-19 09:55:00,1662,abrir_extrato,sucesso,572
2025-06-09 03:05:00,1650,abrir_extrato,sucesso,1378
2025-06-14 04:41:00,1189,abrir_extrato,sucesso,1025
2025-06-04 22:27:00,1971,abrir_extrato,sucesso,626
2025-06-16 09:40:00,1199,abrir_extrato,sucesso,940
2025-06-24 20:50:00,1214,abrir_extrato,erro_500,955
2025-06-27 02:33:00,1840,abrir_extrato,timeout,913
2025-06-26 03:16:00,1384,abrir_extrato,sucesso,1121
2025-06-21 10:38:00,1791,abrir_extrato,sucesso,919
2025-06-26 04:04:00,1635,abrir_extrato,sucesso,760
2025-06-29 23:25:00,1099,abrir_extrato,sucesso,765
2025-06-12 02:14:00,1642,abrir_extrato,sucesso,483
2025-06-22 14:32:00,1134,abrir_extrato,sucesso,458
2025-06-11 23:52:00,1997,abrir_extrato,sucesso,821
2025-06-27 19:53:00,1793,abrir_extrato,sucesso,970
2025-06-15 04:05:00,1625,abrir_extrato,sucesso,588
2025-06-14 07:39:00,1210,abrir_extrato,sucesso,210
2025-06-01 00:40:00,1925,abrir_extrato,sucesso,626
2025-06-23 09:03:00,1698,abrir_extrato,sucesso,405
2025-06-13 07:33:00,1448,abrir_extrato,sucesso,538
2025-06-10 04:40:00,1010,abrir_extrato,sucesso,596
2025-06-10 20:57:00,1440,abrir_extrato,sucesso,622
2025-06-10 19:52:00,1718,abrir_extrato,sucesso,1329
2025-06-23 13:16:00,1391,abrir_extrato,sucesso,1168
2025-06-13 03:44:00,1657,abrir_extrato,erro_500,818
2025-06-17 04:40:00,1138,abrir_extrato,sucesso,589
2025-06-27 13:07:00,1942,abrir_extrato,sucesso,1080
2025-06-23 10:03:00,1416,abrir_extrato,timeout,881
2025-06-02 04:11:00,1197,abrir_extrato,sucesso,455
2025-06-23 02:45:00,1428,abrir_extrato,sucesso,725
2025-06-11 18:14:00,1986,abrir_extrato,sucesso,798
2025-06-29 01:56:00,1894,abrir_extrato,sucesso,609
2025-06-07 04:59:00,1770,abrir_extrato,sucesso,360
2025-06-29 03:38:00,1759,abrir_extrato,sucesso,235
2025-06-04 01:51:00,1441,abrir_extrato,sucesso,627
2025-06-08 13:28:00,1146,abrir_extrato,sucesso,875
2025-06-29 03:44:00,1639,abrir_extrato,sucesso,456
2025-06-01 05:21:00,1761,abrir_extrato,sucesso,340
2025-06-06 12:56:00,1168,abrir_extrato,sucesso,485
2025-06-28 15:33:00,1801,abrir_extrato,sucesso,1258
2025-06-07 09:04:00,1240,abrir_extrato,sucesso,322
2025-06-01 19:25:00,1189,abrir_extrato,sucesso,672
2025-06-14 01:54:00,1797,abrir_extrato,sucesso,451
2025-06-16 18:01:00,1794,abrir_extrato,sucesso,713
2025-06-24 22:21:00,1327,abrir_extrato,sucesso,758
2025-06-10 17:41:00,1997,abrir_extrato,sucesso,1464
2025-06-27 09:47:00,1795,abrir_extrato,sucesso,314
2025-06-24 17:32:00,1168,abrir_extrato,sucesso,1379
2025-06-10 18:26:00,1809,abrir_extrato,sucesso,337
2025-06-18 22:12:00,1342,abrir_extrato,sucesso,728
2025-06-29 02:28:00,1766,abrir_extrato,sucesso,541
2025-06-26 09:58:00,1158,abrir_extrato,sucesso,599
2025-06-12 19:01:00,1253,abrir_extrato,sucesso,1560
2025-06-25 09:09:00,1189,abrir_extrato,sucesso,834
2025-06-02 17:49:00,1346,abrir_extrato,sucesso,118
